280.386	282.430	282.333	283.355	283.302	292.140	284.290	292.960	280.355	289.638	289.720	274.761	290.930	292.195	291.752	292.808	291.432	292.961	292.709	294.376	294.419	288.414	287.365	288.883	284.002	285.200	284.955	286.840	294.224	295.268	294.963	295.507	280.989	274.692	274.290	283.553	283.605	284.825	284.104	278.645	273.872	274.702	282.590	275.482	283.579	277.179	284.690	286.317	277.543	279.054	286.900	279.997	279.894	289.602	289.327	290.636	277.533	286.825	286.167	287.667	280.002	289.753	289.473	289.924	90.101	97.940	91.294	98.240	98.289	99.750	99.577	94.656	28.613	30.371	29.874	31.280	31.302	33.111	32.677	NA	95.118	97.017	96.303	97.654	97.483	98.692	98.946	99.942	96.130	97.496	97.323	97.985	98.368	99.589	99.231	100.540	105.277	112.906	106.292	107.658	114.098	115.351	115.006	116.368	105.726	113.697	106.889	108.255	114.715	109.286	115.700	117.417	109.966	111.895	110.966	112.920	112.443	114.277	113.338	114.506	111.169	112.561	112.315	112.942	113.712	114.307	114.682	115.246
280.717	281.578	281.520	282.833	283.036	284.474	283.683	285.087	280.083	281.941	281.222	283.421	283.240	284.689	283.495	285.261	283.454	285.875	284.548	286.765	287.424	288.094	287.014	288.597	283.118	284.917	284.666	286.846	286.039	287.801	288.383	288.475	272.941	275.638	274.543	276.225	275.826	278.461	276.630	279.419	273.179	275.461	274.297	276.383	275.855	278.357	277.267	278.863	268.958	279.558	279.266	280.762	280.929	281.756	282.416	283.565	277.807	280.706	279.396	281.021	280.822	281.626	281.806	283.644	90.011	91.303	91.073	92.343	92.426	93.558	93.531	94.868	90.673	92.210	91.725	92.817	93.098	94.507	93.869	95.017	NA	32.380	32.355	32.471	32.495	32.253	32.388	28.569	91.837	92.222	92.153	86.631	86.855	95.403	88.767	96.663	105.035	105.967	105.674	106.805	106.952	108.974	107.838	108.888	105.285	106.530	106.244	108.222	108.405	109.438	109.238	110.230	99.341	100.688	107.327	108.446	101.835	109.690	109.428	110.504	100.002	108.144	107.858	109.102	102.593	103.561	110.013	111.293
283.144	284.072	282.913	284.323	285.150	286.835	285.134	287.782	282.329	284.044	283.903	285.951	285.404	285.542	286.378	287.341	285.622	286.975	286.535	288.011	287.776	289.351	288.981	290.028	285.212	287.402	286.118	288.522	287.790	289.625	289.722	290.121	276.266	278.104	277.061	279.529	279.534	279.533	279.113	280.622	276.415	277.770	276.719	277.732	279.101	281.161	280.114	281.852	279.968	281.327	280.662	283.008	282.209	284.003	283.651	285.280	279.415	281.127	281.359	282.576	282.514	284.702	283.735	285.459	91.262	92.811	92.727	93.796	93.755	95.203	94.978	96.499	92.059	93.208	92.923	94.406	94.529	95.946	95.512	96.954	32.449	NA	32.539	32.302	32.040	29.516	28.952	30.408	86.047	94.758	86.803	95.963	88.992	90.759	90.094	91.560	106.351	107.856	108.208	108.976	109.076	110.133	109.767	111.057	106.890	108.631	108.261	109.378	109.043	110.827	110.088	111.673	100.939	108.777	108.543	103.260	103.441	111.065	110.735	111.947	108.130	103.107	109.245	110.371	104.214	111.760	111.422	112.722
281.091	283.174	283.254	283.523	284.254	284.550	285.545	285.954	280.943	282.794	282.626	283.395	284.531	284.168	284.645	285.620	284.092	285.920	285.213	288.129	286.982	287.970	288.365	289.306	284.362	286.453	285.247	287.533	287.701	289.003	288.308	289.601	274.863	276.982	277.238	278.336	277.917	278.661	278.075	280.677	274.718	276.046	276.831	276.903	277.974	279.923	278.659	280.790	278.626	280.659	279.504	281.575	281.266	283.401	282.361	284.566	278.523	280.137	280.734	281.690	281.848	283.149	282.197	283.288	91.061	92.406	92.409	93.223	93.503	94.933	94.661	95.412	91.883	92.789	92.652	93.866	94.442	95.349	95.195	96.775	32.394	32.519	NA	32.315	32.450	31.125	31.372	29.869	92.175	86.834	86.562	95.281	95.761	97.609	89.763	97.943	105.838	106.626	106.972	107.779	108.007	109.349	108.843	109.523	106.494	108.072	107.181	108.367	108.655	109.925	109.096	110.317	106.877	108.297	101.232	102.654	109.097	103.652	103.608	105.004	101.016	102.507	102.137	103.429	103.578	104.880	104.265	105.571
284.144	284.538	283.943	285.075	285.446	286.531	285.979	288.625	282.545	285.101	284.794	285.012	285.920	287.880	286.923	287.246	286.330	287.828	286.860	289.939	288.606	290.148	290.367	291.722	285.642	287.567	287.023	288.608	289.084	290.020	290.088	291.736	277.299	278.825	277.023	278.419	278.649	280.141	279.788	283.042	276.493	279.006	278.613	278.491	280.274	282.314	280.021	281.393	280.370	282.395	282.212	283.453	283.552	285.496	283.986	286.130	281.091	282.419	281.516	283.218	283.576	284.927	284.069	286.191	92.419	93.715	93.448	94.827	94.925	96.416	96.218	97.372	92.812	94.388	94.195	95.415	95.674	97.041	96.966	97.702	32.543	32.116	32.353	NA	29.944	30.585	30.082	31.251	94.255	88.768	88.365	97.243	97.600	91.696	97.919	92.647	107.576	108.712	108.903	109.431	109.713	111.021	110.443	111.826	108.640	108.995	108.920	109.924	110.302	111.602	111.213	112.492	108.399	109.651	103.417	110.526	110.678	105.803	111.603	106.699	108.844	110.285	103.587	111.206	111.330	112.593	112.246	107.459
282.152	283.856	284.271	284.820	284.917	285.675	285.733	288.703	282.058	284.254	283.672	284.926	284.896	287.803	287.295	286.860	285.646	288.278	286.499	288.796	288.360	290.047	290.088	291.206	285.487	287.420	287.619	288.653	289.012	289.984	289.241	290.180	275.641	277.661	278.685	280.797	278.067	283.180	278.963	283.311	278.036	278.867	278.788	278.455	278.050	282.258	281.545	281.408	279.355	282.351	282.069	283.844	282.675	284.217	284.718	285.139	279.416	282.232	280.739	283.387	283.824	285.157	284.802	286.014	92.433	93.847	93.760	94.971	95.110	96.299	96.491	97.192	92.982	94.658	94.186	95.284	95.632	96.891	96.773	98.092	32.568	32.124	32.438	29.604	NA	30.974	30.607	31.460	94.499	96.296	88.581	90.362	90.634	91.778	98.188	92.739	107.147	108.754	108.242	109.363	109.278	110.636	110.466	111.515	107.744	108.987	108.564	109.790	109.885	111.229	111.051	112.419	101.920	109.129	103.268	104.068	110.240	105.705	111.158	106.523	102.671	109.761	103.629	110.791	110.916	106.406	111.874	113.229
284.879	286.510	286.277	287.717	287.829	288.612	288.115	288.647	283.942	286.248	285.286	288.166	286.666	288.461	288.484	289.817	287.871	289.194	289.250	290.161	290.276	291.292	291.035	293.068	288.007	288.996	287.960	290.410	290.060	292.159	291.335	291.888	277.367	280.337	278.677	281.568	280.169	284.001	282.526	284.235	277.519	279.525	278.780	281.502	280.108	283.825	280.828	284.633	282.298	282.993	283.825	284.511	284.044	286.239	285.953	287.055	281.927	284.078	282.759	284.874	285.258	286.241	286.043	287.559	93.774	95.158	94.989	96.648	96.259	97.658	97.744	98.069	94.084	95.886	95.554	97.099	97.215	97.966	98.020	98.678	32.318	29.504	31.174	30.480	30.859	NA	32.040	33.195	95.631	90.552	90.148	98.024	91.735	93.045	98.263	99.790	108.871	109.679	109.369	110.630	110.858	112.064	111.715	113.019	109.030	110.310	109.957	111.279	111.433	112.743	112.404	113.630	103.475	110.680	104.341	105.787	111.824	113.077	112.789	108.381	103.821	105.553	105.262	112.470	106.782	113.836	107.598	108.961
284.575	286.432	285.693	286.377	287.180	287.553	287.869	289.971	284.615	286.322	285.557	286.223	286.538	288.444	288.045	289.485	286.264	288.679	288.611	290.006	290.511	290.637	291.020	291.299	288.006	289.073	288.719	290.372	289.820	290.991	291.528	291.154	276.577	280.191	279.603	279.799	279.755	280.624	280.662	283.832	276.653	280.550	279.682	281.449	280.696	283.447	282.037	282.036	282.193	283.620	283.507	284.338	284.499	286.016	285.460	286.951	281.142	282.629	283.570	284.736	284.418	286.245	285.151	286.552	93.500	95.128	94.493	96.456	96.526	97.853	97.748	98.111	93.816	95.518	95.309	96.965	97.307	97.825	97.927	98.691	32.515	29.022	31.673	30.010	30.528	31.998	NA	32.709	95.351	90.217	89.560	98.136	91.415	92.998	92.584	99.618	108.582	109.478	109.042	110.488	110.625	111.796	111.407	112.762	108.818	109.989	109.675	110.999	111.074	112.376	112.150	113.342	108.955	110.272	110.139	105.632	111.462	106.862	106.619	113.680	103.599	105.142	104.903	106.151	106.348	113.366	107.192	114.425
285.420	286.710	286.992	287.372	287.399	289.516	288.426	290.028	285.000	286.378	286.517	288.484	287.429	289.484	289.168	290.664	287.813	290.329	289.411	291.071	290.994	292.478	292.348	294.077	287.739	290.068	290.272	290.890	290.977	292.550	291.753	293.078	278.606	280.013	281.480	282.183	280.868	284.363	282.111	284.273	280.530	271.079	279.443	280.707	281.346	282.027	281.513	283.722	282.111	283.867	284.174	284.795	285.205	285.981	285.524	287.330	282.484	283.346	283.500	284.579	284.911	286.224	285.660	287.354	94.355	96.610	95.916	97.326	97.167	98.140	98.058	98.910	95.229	97.044	96.866	97.558	97.897	98.656	98.346	99.708	28.692	30.385	29.928	31.230	31.303	33.223	32.716	NA	89.845	91.451	98.113	98.206	98.338	94.122	93.594	94.700	109.426	110.366	110.456	111.444	111.953	113.268	112.565	113.709	109.666	110.908	110.646	111.996	112.455	113.333	113.144	114.814	104.120	105.685	111.488	106.597	106.786	114.074	113.726	114.958	110.968	112.384	106.323	113.390	107.511	108.641	114.460	109.291
279.860	281.391	280.968	282.389	282.510	283.559	283.471	284.453	280.025	281.598	280.901	282.514	282.557	283.594	283.553	284.784	283.902	285.517	284.888	285.979	286.278	287.055	286.951	287.915	283.970	284.995	284.760	285.817	286.221	287.544	286.917	287.976	273.715	275.341	274.674	276.360	276.358	278.742	277.183	278.171	273.815	274.855	274.980	276.701	276.271	277.364	277.262	278.844	277.633	279.445	279.371	279.994	280.195	281.602	280.812	282.856	277.812	279.463	278.759	280.640	280.220	281.515	280.770	282.748	90.646	92.060	91.929	92.884	92.992	94.549	94.221	95.016	91.233	92.296	92.450	93.420	93.799	94.897	94.875	95.675	91.907	86.073	86.066	86.787	94.618	95.616	88.262	97.045	NA	32.384	32.338	32.462	32.460	32.270	32.413	28.553	105.190	106.672	106.215	107.313	107.448	108.902	108.273	109.078	105.841	107.268	107.098	108.531	108.058	109.292	109.068	109.680	99.849	107.701	107.504	108.667	102.377	109.662	109.286	110.518	100.487	108.355	108.057	103.000	109.076	103.903	109.973	111.300
281.760	282.638	282.737	284.270	284.806	286.211	285.597	286.724	282.014	282.932	283.427	284.354	281.657	279.821	285.670	287.083	284.971	286.699	286.577	288.346	288.185	289.539	288.981	290.403	285.275	286.723	286.330	288.237	288.600	289.706	288.985	290.270	275.048	276.633	276.411	277.746	278.536	279.835	279.493	280.476	275.036	277.011	276.119	277.568	278.032	279.260	278.661	280.358	279.635	281.516	281.221	282.476	282.521	283.850	283.091	284.497	280.181	281.509	280.770	282.866	282.688	283.685	283.383	284.727	91.785	93.273	93.341	94.382	94.455	95.931	95.630	97.073	92.310	94.020	93.695	95.139	95.333	96.721	96.611	97.437	92.509	95.036	86.952	88.901	96.491	90.753	90.166	98.070	32.402	NA	32.514	32.292	32.034	29.462	28.968	30.391	107.258	108.952	108.449	109.175	109.332	110.577	110.220	111.423	107.491	108.882	108.881	109.638	109.801	111.036	111.008	112.159	108.264	103.262	108.942	103.867	103.984	111.456	105.274	106.460	102.466	109.677	103.408	110.731	105.065	112.190	111.808	113.123
281.929	282.804	283.130	284.632	284.394	286.185	285.898	286.696	282.411	283.344	282.651	283.807	284.157	285.463	285.081	286.609	284.506	286.286	286.013	287.422	287.630	288.856	288.768	289.355	284.509	286.446	285.990	287.569	287.649	289.083	288.450	289.648	274.529	276.263	275.961	277.829	277.488	278.714	278.490	280.109	274.540	276.318	275.820	276.801	277.592	278.677	278.323	279.945	279.099	281.390	280.897	282.251	281.781	283.878	283.084	283.772	278.930	281.691	280.530	282.740	282.032	283.785	284.108	284.155	91.971	93.012	92.715	94.029	94.182	95.787	95.287	96.895	92.480	93.709	93.353	94.881	95.009	96.524	96.557	97.655	92.252	86.745	86.563	95.526	96.334	90.209	97.911	97.964	32.363	32.484	NA	32.270	32.471	31.332	31.612	29.861	106.657	108.050	107.650	108.943	109.010	110.070	109.749	110.904	107.154	108.876	108.559	109.328	109.497	110.781	110.444	111.719	107.610	108.890	102.567	109.701	103.806	105.216	104.868	111.972	108.280	109.426	109.174	104.410	110.598	105.806	105.610	106.714
283.351	284.429	285.003	285.699	285.958	287.230	286.631	288.314	283.294	284.873	283.980	285.709	286.050	287.107	286.704	288.558	285.977	288.255	287.421	288.756	289.114	290.465	290.233	291.005	285.935	288.706	287.569	288.689	289.101	290.407	290.398	291.113	275.958	278.184	277.545	278.643	278.837	280.048	279.939	281.560	275.841	277.947	277.360	278.809	278.673	280.335	280.662	280.982	281.230	282.524	282.073	283.535	283.643	284.829	284.216	286.115	281.005	282.610	282.240	283.455	283.949	285.074	284.289	285.565	92.929	94.340	93.914	95.451	95.336	97.033	96.761	97.550	93.623	95.092	94.902	96.147	96.524	97.398	97.315	98.068	94.232	95.756	95.332	97.212	97.633	91.532	97.971	98.164	32.493	32.120	32.155	NA	29.830	30.453	30.044	31.236	107.719	109.186	108.744	109.799	109.977	111.571	111.182	112.462	108.432	109.755	109.527	110.880	110.629	112.399	111.607	113.009	108.972	110.088	109.823	105.013	105.155	112.536	112.177	113.406	103.195	110.816	110.601	105.706	105.812	107.155	112.842	114.292
283.525	285.527	285.162	286.189	286.326	288.313	287.400	288.801	283.972	285.015	284.846	286.010	286.075	288.174	287.014	288.451	286.011	287.889	287.983	290.517	289.050	290.418	290.418	291.354	286.654	288.791	287.520	289.313	290.062	290.317	289.877	291.116	276.332	278.423	277.373	279.082	279.027	280.604	280.553	281.200	276.351	278.470	278.016	279.164	279.083	281.333	280.764	281.283	281.012	282.968	282.651	283.497	283.805	285.476	284.983	286.240	281.165	282.962	282.560	284.497	283.697	285.437	285.106	286.164	93.077	94.642	94.379	95.655	95.770	97.535	97.464	97.929	93.569	95.274	95.034	96.562	97.148	98.005	97.729	98.414	94.452	88.920	88.813	90.209	90.502	98.094	98.195	92.713	32.433	32.139	32.446	29.660	NA	30.858	30.538	31.285	108.485	109.877	109.469	110.083	110.859	111.475	111.169	113.002	109.142	109.722	109.479	110.969	110.879	112.182	111.833	113.678	103.026	110.744	103.707	105.388	105.479	106.779	112.825	114.015	110.043	111.446	104.684	106.044	112.614	113.816	106.985	114.817
285.929	286.548	286.467	287.403	287.352	289.060	288.815	289.638	284.475	286.652	285.914	287.624	287.916	289.984	288.695	289.530	288.325	288.985	290.036	291.334	290.009	291.939	292.253	292.768	288.012	288.917	288.815	291.657	290.079	291.969	292.007	292.592	278.078	280.735	278.750	280.983	280.440	281.836	282.351	282.829	277.378	280.020	279.512	280.165	280.213	282.118	282.293	283.583	283.182	283.834	283.527	284.786	284.871	287.227	286.099	287.460	283.079	283.938	283.470	285.956	284.955	286.242	286.463	287.778	94.625	96.112	95.532	97.112	97.015	98.066	98.133	98.548	95.044	96.815	96.530	97.371	97.795	98.467	98.261	99.619	95.470	90.621	90.293	91.496	91.795	93.074	98.252	93.971	32.308	29.432	31.082	30.472	30.840	NA	32.053	33.149	109.180	110.210	111.037	111.230	111.372	112.793	112.276	114.517	110.570	111.979	111.734	111.924	113.082	113.378	114.034	114.336	103.955	105.488	105.143	106.448	113.474	107.897	114.435	108.890	104.808	106.147	105.837	114.036	107.315	108.603	108.301	109.194
284.243	285.762	285.184	286.601	286.944	288.376	288.600	289.248	284.323	286.424	285.456	286.621	286.967	288.432	288.094	289.145	286.890	288.668	288.411	290.301	290.017	291.289	290.525	292.902	287.096	289.307	288.357	290.185	289.853	291.549	290.618	291.979	278.333	278.885	278.434	280.589	279.784	281.165	280.855	282.276	276.809	278.773	279.015	279.804	280.363	281.251	280.879	282.344	282.031	283.633	283.054	284.789	284.808	285.769	285.659	287.424	281.664	283.534	283.337	284.842	284.680	286.031	285.555	286.795	94.259	96.052	95.196	97.242	97.165	98.404	98.180	98.638	94.914	96.559	96.203	97.475	97.630	98.286	98.210	99.474	88.997	97.715	89.840	98.064	98.267	92.850	92.627	99.498	32.363	28.923	31.361	30.027	30.521	32.006	NA	32.679	109.215	110.101	109.919	111.187	111.467	112.666	112.494	113.479	109.293	110.780	110.375	111.779	111.793	113.205	113.132	114.203	103.632	111.106	104.828	106.292	106.407	113.485	107.161	108.735	110.347	111.777	105.619	106.769	106.935	108.534	113.919	109.009
286.692	287.579	287.742	288.153	287.981	289.760	289.462	290.503	285.382	287.547	286.681	288.080	288.070	289.552	289.565	290.343	288.727	290.988	289.688	291.197	291.921	292.548	292.964	293.510	288.379	291.348	290.404	290.921	292.065	292.749	292.646	293.622	278.585	280.747	280.437	281.627	281.800	283.081	281.974	283.600	278.833	280.678	280.480	281.132	281.884	282.877	282.352	284.265	283.205	284.829	284.790	286.806	286.429	287.818	286.929	288.922	283.334	285.367	284.851	285.726	286.158	287.216	287.567	288.404	95.071	96.958	96.329	97.729	97.357	98.586	98.370	99.803	96.087	97.377	97.620	98.066	98.284	99.498	99.342	100.525	90.122	91.578	98.047	92.671	98.344	94.141	93.700	94.635	28.620	30.354	29.837	31.209	31.279	33.119	32.678	NA	109.899	111.162	111.724	112.230	112.390	114.250	113.246	114.437	111.268	112.631	111.571	113.640	113.733	114.309	114.684	115.167	111.559	106.417	112.687	113.926	114.065	115.359	108.553	109.325	112.215	113.593	113.319	114.617	108.312	116.013	108.950	117.045
279.532	280.883	271.201	282.408	282.182	283.585	283.221	275.426	269.921	281.026	280.578	282.168	282.087	282.836	273.532	284.162	273.660	275.428	275.140	284.985	286.138	286.276	277.376	287.367	273.329	275.175	274.536	285.033	284.807	277.526	277.730	278.461	273.558	275.322	284.487	285.705	285.856	277.701	277.759	286.863	273.382	275.716	274.829	286.131	276.279	287.044	277.547	278.753	285.273	279.053	287.693	279.976	288.797	290.640	289.837	291.779	286.463	278.964	287.579	289.037	288.784	290.478	280.988	282.549	106.265	100.807	100.510	108.551	108.631	109.758	102.756	103.774	100.153	108.192	101.135	109.107	102.761	110.383	103.510	104.852	104.668	106.091	105.769	107.793	107.112	108.181	108.657	109.530	105.383	106.410	106.860	107.468	108.311	109.410	108.537	109.319	NA	32.412	32.292	32.436	32.379	32.061	32.423	28.564	85.965	92.253	92.402	94.305	86.854	89.250	95.253	96.675	89.923	91.190	91.086	92.322	92.367	93.539	93.377	94.797	90.644	91.829	91.760	92.869	93.057	94.570	94.200	95.136
280.671	282.086	273.474	274.372	274.455	284.330	275.979	277.559	272.059	273.585	281.820	275.351	275.333	284.796	284.361	277.534	283.795	285.314	284.967	278.104	286.605	287.810	287.603	280.651	275.356	284.732	284.892	286.124	286.217	288.217	287.668	288.729	284.195	277.997	276.882	278.798	287.035	280.000	287.167	281.066	284.387	286.871	285.596	278.788	278.410	279.866	279.684	281.236	279.165	289.453	280.659	282.329	289.593	291.855	282.693	284.626	279.560	280.824	280.414	290.348	282.334	283.680	282.792	292.993	107.540	108.823	108.657	109.748	109.916	111.142	104.445	105.830	108.225	103.171	109.165	110.384	110.510	105.591	111.464	106.509	106.336	107.736	107.696	108.882	108.851	109.665	109.350	110.924	106.903	108.612	108.264	109.054	109.134	110.733	110.033	111.336	32.356	NA	32.494	32.306	32.096	29.530	29.001	30.364	92.213	94.717	86.769	95.742	89.015	90.624	90.253	98.041	91.212	92.588	92.492	93.662	93.771	95.140	94.874	96.432	92.107	93.260	92.878	94.560	94.654	96.035	95.824	97.440
279.745	281.331	280.211	273.720	273.681	275.259	275.126	276.515	280.162	282.590	280.795	282.282	282.138	275.091	282.916	276.124	274.719	276.148	284.071	277.175	284.871	286.847	286.375	287.887	283.123	284.843	275.672	277.294	284.706	278.625	278.284	288.021	283.588	284.461	285.008	286.882	278.062	279.894	279.173	279.959	274.607	276.941	276.147	286.486	278.242	278.876	278.836	279.990	278.198	288.654	288.141	281.251	289.525	283.084	281.854	291.601	278.321	288.762	279.431	281.226	280.852	282.659	290.937	292.754	100.400	101.631	108.034	102.719	109.083	110.293	103.632	111.207	107.452	108.824	102.235	109.568	109.742	110.997	104.421	111.957	105.572	107.127	106.887	107.809	108.655	108.955	109.065	110.068	106.457	107.676	107.160	108.866	108.930	109.853	109.607	110.209	32.425	32.431	NA	32.018	32.462	30.616	31.686	29.875	92.185	86.845	86.633	88.820	95.743	90.266	89.773	97.958	91.103	92.567	92.441	93.523	93.472	94.679	94.675	95.989	91.988	92.876	92.779	93.947	94.094	95.569	95.023	96.333
273.536	283.181	282.070	283.758	283.939	284.957	284.740	286.197	281.313	282.916	282.998	275.876	275.919	285.780	284.390	278.952	276.375	277.933	285.708	287.672	279.168	288.608	288.146	279.753	275.831	277.596	285.355	286.400	287.267	288.290	286.968	289.218	283.324	284.470	284.138	285.226	277.823	287.078	278.727	288.255	283.133	277.095	276.301	277.988	285.599	287.203	279.073	280.409	288.351	289.387	280.793	282.563	282.611	284.104	291.701	292.160	287.473	289.373	288.158	290.166	289.821	291.125	283.203	292.569	108.464	109.565	109.394	110.628	104.480	105.937	111.732	112.837	103.054	104.031	109.965	111.312	111.388	112.645	106.369	113.667	107.680	109.079	109.205	109.796	109.885	110.866	110.927	111.967	108.441	109.209	109.061	109.946	110.339	111.683	111.282	112.392	32.578	32.181	32.312	NA	29.879	30.423	30.039	31.204	94.287	88.876	88.400	90.272	97.748	97.918	91.177	92.594	92.232	93.697	93.305	94.810	95.068	96.504	96.078	97.298	92.683	94.430	94.264	95.440	96.103	97.213	97.081	97.636
280.526	273.500	273.115	274.927	274.958	276.308	283.936	277.308	279.850	273.912	281.723	274.829	274.975	284.440	275.909	278.096	276.113	278.300	277.559	278.798	286.686	287.893	280.319	287.948	275.945	284.878	284.854	278.958	286.272	279.979	287.358	281.575	274.974	284.494	276.174	285.532	278.303	286.411	278.787	280.303	275.165	284.443	276.371	278.042	285.564	279.816	286.146	280.203	287.537	289.086	288.423	282.727	282.924	284.334	290.890	291.632	287.332	288.822	288.170	282.495	282.206	289.902	290.956	292.103	108.018	103.404	103.283	104.101	110.240	105.842	111.248	106.584	108.654	109.847	103.662	110.809	105.369	106.475	106.291	113.257	107.283	108.494	108.611	109.311	109.512	110.721	110.588	111.520	107.767	109.332	108.665	110.007	110.143	111.202	110.824	112.022	32.505	32.116	32.382	29.571	NA	30.884	30.517	31.270	94.547	96.291	88.612	90.305	90.516	98.128	98.141	98.318	92.612	93.965	93.481	94.848	95.220	96.297	96.423	97.039	93.008	94.477	94.230	95.337	96.050	97.598	97.596	97.377
273.726	283.383	282.570	284.015	284.826	285.744	285.444	279.474	281.841	283.479	274.712	283.405	284.459	285.446	277.778	286.363	277.541	279.108	286.529	287.283	287.147	281.133	288.947	282.193	276.921	287.233	286.486	287.766	287.975	289.134	280.899	290.175	276.744	285.723	285.778	286.950	279.494	288.346	287.987	288.982	284.282	278.667	285.129	279.683	286.881	280.692	287.733	281.576	280.840	282.042	282.309	283.912	291.816	286.239	292.619	292.916	289.208	282.887	282.159	290.994	283.472	285.699	284.717	292.218	109.297	104.901	110.409	111.695	111.838	113.090	107.046	113.951	109.967	111.348	111.161	106.642	106.749	108.214	113.500	114.970	108.485	109.543	109.365	110.618	110.761	112.111	111.765	112.848	108.990	110.260	109.956	111.246	111.433	112.651	112.320	113.630	32.314	29.535	31.222	30.475	30.924	NA	31.997	33.178	95.674	90.549	97.606	97.957	91.700	92.972	98.260	93.967	93.530	95.187	94.665	96.459	96.321	97.818	97.588	98.112	94.072	95.858	95.554	97.128	97.496	97.926	97.986	98.703
273.459	274.955	282.664	284.046	276.051	285.260	277.289	285.937	273.467	283.183	274.797	275.975	276.080	285.068	285.068	278.833	285.414	278.712	278.199	280.581	288.085	289.156	280.781	289.801	276.883	279.110	286.463	288.066	288.324	289.161	280.838	289.870	276.071	285.446	285.277	279.543	279.335	281.179	287.423	288.330	277.374	285.372	284.958	279.211	286.592	280.695	287.858	281.181	288.788	282.045	289.752	290.903	291.234	285.561	284.710	277.356	289.811	290.122	291.014	284.046	292.098	293.409	293.117	286.289	108.972	110.342	103.972	111.347	111.493	106.906	112.440	108.093	103.706	105.330	104.917	112.009	106.573	113.433	113.112	114.461	108.660	109.504	109.265	110.559	110.826	112.010	111.662	112.740	108.819	110.225	109.719	110.953	111.056	112.382	112.147	113.226	32.426	28.894	31.669	30.047	30.508	31.992	NA	32.662	88.319	90.142	89.695	97.989	91.308	92.815	98.257	93.665	93.356	94.911	94.262	96.026	96.384	97.792	97.675	97.985	94.217	95.717	95.303	97.014	97.467	98.120	97.989	98.343
275.773	286.053	276.637	278.211	278.679	280.090	286.530	289.218	276.227	277.730	285.638	278.728	286.706	280.254	287.411	288.613	286.485	280.068	288.985	290.082	290.740	291.223	291.000	291.688	278.852	280.093	289.138	290.005	290.389	283.451	290.980	283.555	287.094	280.781	288.141	289.052	281.233	283.265	290.761	291.259	287.140	280.730	287.838	281.721	281.299	283.543	282.751	284.531	291.418	283.754	283.475	292.836	284.933	286.586	294.488	295.751	282.928	292.389	283.500	285.352	294.494	294.614	294.526	295.781	104.179	111.731	111.468	106.796	113.092	108.064	107.770	108.782	110.984	112.332	106.165	107.370	107.561	108.699	108.471	115.763	109.041	110.602	110.027	111.359	111.547	112.746	112.692	113.613	109.958	110.970	110.714	112.572	112.223	113.398	113.096	114.626	28.556	30.368	29.776	31.219	31.242	33.097	32.661	NA	89.826	97.895	91.205	98.173	92.744	94.004	93.622	100.834	94.811	96.319	95.912	97.312	97.699	98.175	98.089	98.856	95.079	97.155	96.896	97.831	97.970	98.726	98.361	99.812
278.917	272.569	271.936	273.456	273.416	275.001	274.301	277.059	279.580	272.988	272.400	282.221	282.429	283.906	283.351	284.326	283.655	275.912	275.300	276.524	285.649	278.019	286.139	279.839	283.545	275.771	284.789	277.434	285.821	278.159	277.839	278.948	274.268	276.097	283.584	278.041	273.069	286.233	285.564	287.469	281.921	274.555	283.011	274.937	275.082	277.101	285.686	277.930	277.238	287.608	278.242	288.672	279.919	281.993	280.985	282.568	277.215	278.547	287.309	279.980	280.014	290.142	280.974	291.185	99.892	107.747	100.876	108.679	108.737	109.675	103.448	110.697	100.594	101.901	108.138	103.115	103.253	104.176	103.744	111.362	105.119	106.221	106.298	107.604	107.728	109.167	108.455	109.094	106.010	107.031	106.461	108.518	108.619	109.299	109.006	109.820	91.866	92.235	92.165	86.674	94.581	88.919	95.373	89.818	NA	32.405	32.282	32.448	32.479	32.249	32.327	28.560	90.757	92.030	92.065	92.644	93.045	94.815	93.862	94.994	91.229	92.327	92.470	93.626	93.514	94.707	94.882	96.109
271.796	272.636	272.530	273.864	273.943	276.042	283.719	284.812	272.016	281.950	281.480	283.296	273.895	275.846	284.110	285.521	275.036	276.944	276.885	278.159	278.039	279.515	286.669	288.923	275.651	285.316	284.876	278.230	286.368	287.820	287.334	288.557	274.629	285.604	276.058	286.716	286.250	287.932	287.310	288.666	274.573	285.074	276.519	277.496	277.234	278.834	287.455	280.591	278.983	281.953	280.081	290.099	282.058	291.597	282.614	284.868	278.871	280.550	280.213	281.948	290.141	292.202	291.557	284.759	101.706	109.108	108.977	104.014	104.134	111.465	111.114	106.523	102.488	103.675	109.466	104.873	105.081	106.251	111.811	113.154	107.066	108.588	108.155	109.062	109.185	110.359	110.095	111.207	107.528	108.874	108.826	109.625	109.783	111.102	110.789	112.029	86.152	94.718	86.818	95.942	96.332	97.418	90.108	97.875	32.391	NA	32.478	32.202	31.955	29.489	28.952	30.415	92.164	93.274	93.038	94.460	94.645	96.000	95.575	97.104	92.355	94.095	93.661	95.152	95.305	96.795	96.488	97.470
